roulette_size,generator,number,repeats,correlation,counts
10,nativeRandom,2,,,1023
10,nativeRandom,3,,,1005
10,nativeRandom,4,,,998
10,nativeRandom,5,,,1017
10,nativeRandom,6,,,954
10,nativeRandom,7,,,991
10,nativeRandom,8,,,1009
10,nativeRandom,9,,,995
10,nativeRandom,10,,,976
10,lcg,,990,-0.0129,
10,lcg,1,,,1025
10,lcg,2,,,1020
10,lcg,3,,,1021
10,lcg,4,,,1010
10,lcg,5,,,1049
10,lcg,6,,,970
10,lcg,7,,,955
10,lcg,8,,,963
10,lcg,9,,,980
10,lcg,10,,,1007
10,xorshift,,1011,0.0109,
10,xorshift,1,,,1000
10,xorshift,2,,,974
10,xorshift,3,,,953
10,xorshift,4,,,961
10,xorshift,5,,,999
10,xorshift,6,,,992
10,xorshift,7,,,1049
10,xorshift,8,,,1014
10,xorshift,9,,,1036
10,xorshift,10,,,1022
10,mulberry32,,957,-0.0013,
10,mulberry32,1,,,937
10,mulberry32,2,,,999
10,mulberry32,3,,,982
10,mulberry32,4,,,1046
10,mulberry32,5,,,1025
10,mulberry32,6,,,992
10,mulberry32,7,,,1003
10,mulberry32,8,,,1014
10,mulberry32,9,,,1009
10,mulberry32,10,,,993
11,nativeRandom,,909,0.0091,
11,nativeRandom,1,,,924
11,nativeRandom,2,,,914
11,nativeRandom,3,,,939
11,nativeRandom,4,,,867
11,nativeRandom,5,,,907
11,nativeRandom,6,,,940
11,nativeRandom,7,,,898
11,nativeRandom,8,,,904
11,nativeRandom,9,,,918
11,nativeRandom,10,,,874
11,nativeRandom,11,,,915
11,lcg,,897,-0.0099,
11,lcg,1,,,946
11,lcg,2,,,915
11,lcg,3,,,931
11,lcg,4,,,920
11,lcg,5,,,924
11,lcg,6,,,897
11,lcg,7,,,895
11,lcg,8,,,870
11,lcg,9,,,873
11,lcg,10,,,903
11,lcg,11,,,926
11,xorshift,,958,-0.0096,
11,xorshift,1,,,919
11,xorshift,2,,,945
11,xorshift,3,,,900
11,xorshift,4,,,928
11,xorshift,5,,,879
11,xorshift,6,,,933
11,xorshift,7,,,897
11,xorshift,8,,,909
11,xorshift,9,,,922
11,xorshift,10,,,913
11,xorshift,11,,,855
11,mulberry32,,923,0.0087,
11,mulberry32,1,,,953
11,mulberry32,2,,,910
11,mulberry32,3,,,896
11,mulberry32,4,,,914
11,mulberry32,5,,,911
11,mulberry32,6,,,950
11,mulberry32,7,,,915
11,mulberry32,8,,,938
11,mulberry32,9,,,867
11,mulberry32,10,,,875
11,mulberry32,11,,,871
12,nativeRandom,,829,0.0156,
12,nativeRandom,1,,,844
12,nativeRandom,2,,,800
12,nativeRandom,3,,,825
12,nativeRandom,4,,,811
12,nativeRandom,5,,,846
12,nativeRandom,6,,,831
12,nativeRandom,7,,,846
12,nativeRandom,8,,,809
12,nativeRandom,9,,,817
12,nativeRandom,10,,,861
12,nativeRandom,11,,,844
12,nativeRandom,12,,,866
12,lcg,,795,-0.0104,
12,lcg,1,,,877
12,lcg,2,,,842
12,lcg,3,,,867
12,lcg,4,,,823
12,lcg,5,,,850
12,lcg,6,,,873
12,lcg,7,,,798
12,lcg,8,,,779
12,lcg,9,,,825
12,lcg,10,,,826
12,lcg,11,,,798
12,lcg,12,,,842
12,xorshift,,874,0.0256,
12,xorshift,1,,,842
12,xorshift,2,,,851
12,xorshift,3,,,856
12,xorshift,4,,,809
12,xorshift,5,,,824
12,xorshift,6,,,811
12,xorshift,7,,,814
12,xorshift,8,,,775
12,xorshift,9,,,840
12,xorshift,10,,,840
12,xorshift,11,,,856
12,xorshift,12,,,882
12,mulberry32,,815,-0.0200,
12,mulberry32,1,,,842
12,mulberry32,2,,,839
12,mulberry32,3,,,871
12,mulberry32,4,,,825
12,mulberry32,5,,,800
12,mulberry32,6,,,795
12,mulberry32,7,,,838
12,mulberry32,8,,,864
12,mulberry32,9,,,791
12,mulberry32,10,,,859
12,mulberry32,11,,,830
12,mulberry32,12,,,846
13,nativeRandom,,743,-0.0086,
13,nativeRandom,1,,,755
13,nativeRandom,2,,,763
13,nativeRandom,3,,,786
13,nativeRandom,4,,,722
13,nativeRandom,5,,,798
13,nativeRandom,6,,,742
13,nativeRandom,7,,,760
13,nativeRandom,8,,,792
13,nativeRandom,9,,,793
13,nativeRandom,10,,,753
13,nativeRandom,11,,,747
13,nativeRandom,12,,,799
13,nativeRandom,13,,,790
13,lcg,,792,-0.0094,
13,lcg,1,,,808
13,lcg,2,,,776
13,lcg,3,,,788
13,lcg,4,,,746
13,lcg,5,,,788
13,lcg,6,,,817
13,lcg,7,,,758
13,lcg,8,,,755
13,lcg,9,,,741
13,lcg,10,,,728
13,lcg,11,,,767
13,lcg,12,,,748
13,lcg,13,,,780
13,xorshift,,758,-0.0068,
13,xorshift,1,,,777
13,xorshift,2,,,727
13,xorshift,3,,,824
13,xorshift,4,,,791
13,xorshift,5,,,795
13,xorshift,6,,,767
13,xorshift,7,,,799
13,xorshift,8,,,749
13,xorshift,9,,,689
13,xorshift,10,,,811
13,xorshift,11,,,758
13,xorshift,12,,,749
13,xorshift,13,,,764
13,mulberry32,,749,-0.0219,
13,mulberry32,1,,,732
13,mulberry32,2,,,761
13,mulberry32,3,,,740
13,mulberry32,4,,,785
13,mulberry32,5,,,754
13,mulberry32,6,,,781
13,mulberry32,7,,,798
13,mulberry32,8,,,749
13,mulberry32,9,,,817
13,mulberry32,10,,,773
13,mulberry32,11,,,763
13,mulberry32,12,,,760
13,mulberry32,13,,,787
14,nativeRandom,,726,0.0051,
14,nativeRandom,1,,,712
14,nativeRandom,2,,,706
14,nativeRandom,3,,,714
14,nativeRandom,4,,,681
14,nativeRandom,5,,,662
14,nativeRandom,6,,,744
14,nativeRandom,7,,,688
14,nativeRandom,8,,,742
14,nativeRandom,9,,,718
14,nativeRandom,10,,,730
14,nativeRandom,11,,,731
14,nativeRandom,12,,,713
14,nativeRandom,13,,,714
14,nativeRandom,14,,,745
14,lcg,,697,-0.0129,
14,lcg,1,,,755
14,lcg,2,,,704
14,lcg,3,,,753
14,lcg,4,,,703
14,lcg,5,,,727
14,lcg,6,,,695
14,lcg,7,,,768
14,lcg,8,,,669
14,lcg,9,,,708
14,lcg,10,,,694
14,lcg,11,,,678
14,lcg,12,,,737
14,lcg,13,,,682
14,lcg,14,,,727
14,xorshift,,711,-0.0025,
14,xorshift,1,,,747
14,xorshift,2,,,717
14,xorshift,3,,,695
14,xorshift,4,,,697
14,xorshift,5,,,747
14,xorshift,6,,,675
14,xorshift,7,,,753
14,xorshift,8,,,707
14,xorshift,9,,,717
14,xorshift,10,,,719
14,xorshift,11,,,678
14,xorshift,12,,,725
14,xorshift,13,,,729
14,xorshift,14,,,694
14,mulberry32,,707,0.0248,
14,mulberry32,1,,,741
14,mulberry32,2,,,742
14,mulberry32,3,,,679
14,mulberry32,4,,,693
14,mulberry32,5,,,762
14,mulberry32,6,,,736
14,mulberry32,7,,,716
14,mulberry32,8,,,693
14,mulberry32,9,,,695
14,mulberry32,10,,,685
14,mulberry32,11,,,730
14,mulberry32,12,,,729
14,mulberry32,13,,,695
14,mulberry32,14,,,704
15,nativeRandom,,652,0.0040,
15,nativeRandom,1,,,664
15,nativeRandom,2,,,678
15,nativeRandom,3,,,683
15,nativeRandom,4,,,654
15,nativeRandom,5,,,674
15,nativeRandom,6,,,654
15,nativeRandom,7,,,656
15,nativeRandom,8,,,688
15,nativeRandom,9,,,631
15,nativeRandom,10,,,624
15,nativeRandom,11,,,703
15,nativeRandom,12,,,657
15,nativeRandom,13,,,675
15,nativeRandom,14,,,705
15,nativeRandom,15,,,654
15,lcg,,658,-0.0119,
15,lcg,1,,,716
15,lcg,2,,,639
15,lcg,3,,,682
15,lcg,4,,,695
15,lcg,5,,,683
15,lcg,6,,,675
15,lcg,7,,,701
15,lcg,8,,,650
15,lcg,9,,,661
15,lcg,10,,,613
15,lcg,11,,,656
15,lcg,12,,,642
15,lcg,13,,,676
15,lcg,14,,,641
15,lcg,15,,,670
15,xorshift,,725,0.0222,
15,xorshift,1,,,619
15,xorshift,2,,,685
15,xorshift,3,,,680
15,xorshift,4,,,660
15,xorshift,5,,,609
15,xorshift,6,,,692
15,xorshift,7,,,638
15,xorshift,8,,,683
15,xorshift,9,,,676
15,xorshift,10,,,655
15,xorshift,11,,,690
15,xorshift,12,,,687
15,xorshift,13,,,673
15,xorshift,14,,,667
15,xorshift,15,,,686
15,mulberry32,,682,-0.0107,
15,mulberry32,1,,,660
15,mulberry32,2,,,673
15,mulberry32,3,,,652
15,mulberry32,4,,,654
15,mulberry32,5,,,662
15,mulberry32,6,,,644
15,mulberry32,7,,,654
15,mulberry32,8,,,647
15,mulberry32,9,,,679
15,mulberry32,10,,,692
15,mulberry32,11,,,662
15,mulberry32,12,,,698
15,mulberry32,13,,,641
15,mulberry32,14,,,682
15,mulberry32,15,,,700
16,nativeRandom,,658,-0.0020,
16,nativeRandom,1,,,595
16,nativeRandom,2,,,613
16,nativeRandom,3,,,610
16,nativeRandom,4,,,592
16,nativeRandom,5,,,620
16,nativeRandom,6,,,639
16,nativeRandom,7,,,650
16,nativeRandom,8,,,627
16,nativeRandom,9,,,642
16,nativeRandom,10,,,617
16,nativeRandom,11,,,594
16,nativeRandom,12,,,655
16,nativeRandom,13,,,616
16,nativeRandom,14,,,653
16,nativeRandom,15,,,651
16,nativeRandom,16,,,626
16,lcg,,608,-0.0153,
16,lcg,1,,,691
16,lcg,2,,,596
16,lcg,3,,,645
16,lcg,4,,,670
16,lcg,5,,,596
16,lcg,6,,,640
16,lcg,7,,,627
16,lcg,8,,,680
16,lcg,9,,,578
16,lcg,10,,,598
16,lcg,11,,,628
16,lcg,12,,,584
16,lcg,13,,,609
16,lcg,14,,,632
16,lcg,15,,,607
16,lcg,16,,,619
16,xorshift,,611,-0.0052,
16,xorshift,1,,,616
16,xorshift,2,,,569
16,xorshift,3,,,610
16,xorshift,4,,,629
16,xorshift,5,,,623
16,xorshift,6,,,668
16,xorshift,7,,,612
16,xorshift,8,,,663
16,xorshift,9,,,620
16,xorshift,10,,,618
16,xorshift,11,,,659
16,xorshift,12,,,654
16,xorshift,13,,,628
16,xorshift,14,,,640
16,xorshift,15,,,607
16,xorshift,16,,,584
16,mulberry32,,618,0.0043,
16,mulberry32,1,,,593
16,mulberry32,2,,,593
16,mulberry32,3,,,651
16,mulberry32,4,,,646
16,mulberry32,5,,,605
16,mulberry32,6,,,648
16,mulberry32,7,,,603
16,mulberry32,8,,,656
16,mulberry32,9,,,633
16,mulberry32,10,,,630
16,mulberry32,11,,,633
16,mulberry32,12,,,598
16,mulberry32,13,,,628
16,mulberry32,14,,,639
16,mulberry32,15,,,611
16,mulberry32,16,,,633
17,nativeRandom,,611,-0.0012,
17,nativeRandom,1,,,575
17,nativeRandom,2,,,580
17,nativeRandom,3,,,582
17,nativeRandom,4,,,583
17,nativeRandom,5,,,569
17,nativeRandom,6,,,594
17,nativeRandom,7,,,586
17,nativeRandom,8,,,615
17,nativeRandom,9,,,628
17,nativeRandom,10,,,565
17,nativeRandom,11,,,596
17,nativeRandom,12,,,557
17,nativeRandom,13,,,585
17,nativeRandom,14,,,582
17,nativeRandom,15,,,568
17,nativeRandom,16,,,610
17,nativeRandom,17,,,625
17,lcg,,577,-0.0124,
17,lcg,1,,,661
17,lcg,2,,,524
17,lcg,3,,,639
17,lcg,4,,,610
17,lcg,5,,,581
17,lcg,6,,,608
17,lcg,7,,,592
17,lcg,8,,,598
17,lcg,9,,,578
17,lcg,10,,,573
17,lcg,11,,,568
17,lcg,12,,,562
17,lcg,13,,,585
17,lcg,14,,,567
17,lcg,15,,,582
17,lcg,16,,,567
17,lcg,17,,,605
17,xorshift,,614,-0.0158,
17,xorshift,1,,,554
17,xorshift,2,,,617
17,xorshift,3,,,601
17,xorshift,4,,,590
17,xorshift,5,,,621
17,xorshift,6,,,598
17,xorshift,7,,,550
17,xorshift,8,,,553
17,xorshift,9,,,551
17,xorshift,10,,,626
17,xorshift,11,,,591
17,xorshift,12,,,609
17,xorshift,13,,,602
17,xorshift,14,,,580
17,xorshift,15,,,601
17,xorshift,16,,,581
17,xorshift,17,,,575
17,mulberry32,,617,-0.0032,
17,mulberry32,1,,,601
17,mulberry32,2,,,576
17,mulberry32,3,,,611
17,mulberry32,4,,,610
17,mulberry32,5,,,588
17,mulberry32,6,,,573
17,mulberry32,7,,,612
17,mulberry32,8,,,634
17,mulberry32,9,,,594
17,mulberry32,10,,,552
17,mulberry32,11,,,561
17,mulberry32,12,,,600
17,mulberry32,13,,,604
17,mulberry32,14,,,596
17,mulberry32,15,,,581
17,mulberry32,16,,,548
17,mulberry32,17,,,559
18,nativeRandom,,527,0.0167,
18,nativeRandom,1,,,559
18,nativeRandom,2,,,540
18,nativeRandom,3,,,553
18,nativeRandom,4,,,557
18,nativeRandom,5,,,578
18,nativeRandom,6,,,583
18,nativeRandom,7,,,550
18,nativeRandom,8,,,497
18,nativeRandom,9,,,593
18,nativeRandom,10,,,519
18,nativeRandom,11,,,583
18,nativeRandom,12,,,552
18,nativeRandom,13,,,580
18,nativeRandom,14,,,562
18,nativeRandom,15,,,561
18,nativeRandom,16,,,536
18,nativeRandom,17,,,573
18,nativeRandom,18,,,524
18,lcg,,551,-0.0165,
18,lcg,1,,,617
18,lcg,2,,,491
18,lcg,3,,,593
18,lcg,4,,,581
18,lcg,5,,,536
18,lcg,6,,,560
18,lcg,7,,,537
18,lcg,8,,,573
18,lcg,9,,,609
18,lcg,10,,,519
18,lcg,11,,,565
18,lcg,12,,,508
18,lcg,13,,,547
18,lcg,14,,,519
18,lcg,15,,,579
18,lcg,16,,,532
18,lcg,17,,,559
18,lcg,18,,,575
18,xorshift,,569,0.0038,
18,xorshift,1,,,615
18,xorshift,2,,,548
18,xorshift,3,,,572
18,xorshift,4,,,517
18,xorshift,5,,,553
18,xorshift,6,,,546
18,xorshift,7,,,568
18,xorshift,8,,,559
18,xorshift,9,,,563
18,xorshift,10,,,512
18,xorshift,11,,,560
18,xorshift,12,,,552
18,xorshift,13,,,555
18,xorshift,14,,,555
18,xorshift,15,,,559
18,xorshift,16,,,539
18,xorshift,17,,,575
18,xorshift,18,,,552
18,mulberry32,,576,0.0048,
18,mulberry32,1,,,591
18,mulberry32,2,,,540
18,mulberry32,3,,,602
18,mulberry32,4,,,539
18,mulberry32,5,,,547
18,mulberry32,6,,,581
18,mulberry32,7,,,572
18,mulberry32,8,,,602
18,mulberry32,9,,,576
18,mulberry32,10,,,531
18,mulberry32,11,,,531
18,mulberry32,12,,,520
18,mulberry32,13,,,562
18,mulberry32,14,,,537
18,mulberry32,15,,,545
18,mulberry32,16,,,559
18,mulberry32,17,,,515
18,mulberry32,18,,,550
19,nativeRandom,,531,0.0109,
19,nativeRandom,1,,,561
19,nativeRandom,2,,,491
19,nativeRandom,3,,,554
19,nativeRandom,4,,,543
19,nativeRandom,5,,,529
19,nativeRandom,6,,,521
19,nativeRandom,7,,,548
19,nativeRandom,8,,,480
19,nativeRandom,9,,,561
19,nativeRandom,10,,,507
19,nativeRandom,11,,,510
19,nativeRandom,12,,,480
19,nativeRandom,13,,,500
19,nativeRandom,14,,,515
19,nativeRandom,15,,,548
19,nativeRandom,16,,,523
19,nativeRandom,17,,,522
19,nativeRandom,18,,,541
19,nativeRandom,19,,,566
19,lcg,,531,-0.0096,
19,lcg,1,,,594
19,lcg,2,,,476
19,lcg,3,,,557
19,lcg,4,,,539
19,lcg,5,,,521
19,lcg,6,,,517
19,lcg,7,,,527
19,lcg,8,,,552
19,lcg,9,,,564
19,lcg,10,,,506
19,lcg,11,,,507
19,lcg,12,,,515
19,lcg,13,,,534
19,lcg,14,,,507
19,lcg,15,,,491
19,lcg,16,,,545
19,lcg,17,,,494
19,lcg,18,,,522
19,lcg,19,,,532
19,xorshift,,542,0.0212,
19,xorshift,1,,,533
19,xorshift,2,,,582
19,xorshift,3,,,466
19,xorshift,4,,,577
19,xorshift,5,,,544
19,xorshift,6,,,533
19,xorshift,7,,,523
19,xorshift,8,,,533
19,xorshift,9,,,492
19,xorshift,10,,,527
19,xorshift,11,,,557
19,xorshift,12,,,548
19,xorshift,13,,,542
19,xorshift,14,,,512
19,xorshift,15,,,522
19,xorshift,16,,,512
19,xorshift,17,,,484
19,xorshift,18,,,507
19,xorshift,19,,,506
19,mulberry32,,460,-0.0070,
19,mulberry32,1,,,503
19,mulberry32,2,,,510
19,mulberry32,3,,,553
19,mulberry32,4,,,479
19,mulberry32,5,,,555
19,mulberry32,6,,,545
19,mulberry32,7,,,525
19,mulberry32,8,,,531
19,mulberry32,9,,,555
19,mulberry32,10,,,526
19,mulberry32,11,,,542
19,mulberry32,12,,,531
19,mulberry32,13,,,529
19,mulberry32,14,,,519
19,mulberry32,15,,,525
19,mulberry32,16,,,505
19,mulberry32,17,,,503
19,mulberry32,18,,,536
19,mulberry32,19,,,528
20,nativeRandom,,487,-0.0124,
20,nativeRandom,1,,,486
20,nativeRandom,2,,,490
20,nativeRandom,3,,,519
20,nativeRandom,4,,,468
20,nativeRandom,5,,,506
20,nativeRandom,6,,,526
20,nativeRandom,7,,,511
20,nativeRandom,8,,,456
20,nativeRandom,9,,,526
20,nativeRandom,10,,,493
20,nativeRandom,11,,,499
20,nativeRandom,12,,,508
20,nativeRandom,13,,,479
20,nativeRandom,14,,,496
20,nativeRandom,15,,,546
20,nativeRandom,16,,,482
20,nativeRandom,17,,,493
20,nativeRandom,18,,,508
20,nativeRandom,19,,,513
20,nativeRandom,20,,,495
20,lcg,,500,-0.0100,
20,lcg,1,,,559
20,lcg,2,,,465
20,lcg,3,,,517
20,lcg,4,,,487
20,lcg,5,,,546
20,lcg,6,,,479
20,lcg,7,,,522
20,lcg,8,,,499
20,lcg,9,,,511
20,lcg,10,,,535
20,lcg,11,,,467
20,lcg,12,,,512
20,lcg,13,,,463
20,lcg,14,,,491
20,lcg,15,,,476
20,lcg,16,,,475
20,lcg,17,,,508
20,lcg,18,,,488
20,lcg,19,,,492
20,lcg,20,,,508
20,xorshift,,516,-0.0053,
20,xorshift,1,,,498
20,xorshift,2,,,460
20,xorshift,3,,,499
20,xorshift,4,,,557
20,xorshift,5,,,497
20,xorshift,6,,,493
20,xorshift,7,,,496
20,xorshift,8,,,495
20,xorshift,9,,,480
20,xorshift,10,,,520
20,xorshift,11,,,501
20,xorshift,12,,,464
20,xorshift,13,,,495
20,xorshift,14,,,515
20,xorshift,15,,,509
20,xorshift,16,,,496
20,xorshift,17,,,521
20,xorshift,18,,,516
20,xorshift,19,,,503
20,xorshift,20,,,485
20,mulberry32,,513,0.0054,
20,mulberry32,1,,,488
20,mulberry32,2,,,476
20,mulberry32,3,,,484
20,mulberry32,4,,,513
20,mulberry32,5,,,471
20,mulberry32,6,,,516
20,mulberry32,7,,,501
20,mulberry32,8,,,487
20,mulberry32,9,,,500
20,mulberry32,10,,,506
20,mulberry32,11,,,465
20,mulberry32,12,,,482
20,mulberry32,13,,,512
20,mulberry32,14,,,551
20,mulberry32,15,,,493
20,mulberry32,16,,,508
20,mulberry32,17,,,477
20,mulberry32,18,,,491
20,mulberry32,19,,,529
20,mulberry32,20,,,550
21,nativeRandom,,453,-0.0246,
21,nativeRandom,1,,,475
21,nativeRandom,2,,,468
21,nativeRandom,3,,,451
21,nativeRandom,4,,,496
21,nativeRandom,5,,,507
21,nativeRandom,6,,,439
21,nativeRandom,7,,,481
21,nativeRandom,8,,,498
21,nativeRandom,9,,,465
21,nativeRandom,10,,,469
21,nativeRandom,11,,,504
21,nativeRandom,12,,,468
21,nativeRandom,13,,,438
21,nativeRandom,14,,,440
21,nativeRandom,15,,,485
21,nativeRandom,16,,,492
21,nativeRandom,17,,,484
21,nativeRandom,18,,,495
21,nativeRandom,19,,,490
21,nativeRandom,20,,,481
21,nativeRandom,21,,,474
21,lcg,,463,-0.0119,
21,lcg,1,,,534
21,lcg,2,,,450
21,lcg,3,,,468
21,lcg,4,,,478
21,lcg,5,,,524
21,lcg,6,,,455
21,lcg,7,,,482
21,lcg,8,,,473
21,lcg,9,,,478
21,lcg,10,,,520
21,lcg,11,,,474
21,lcg,12,,,444
21,lcg,13,,,475
21,lcg,14,,,446
21,lcg,15,,,469
21,lcg,16,,,471
21,lcg,17,,,464
21,lcg,18,,,482
21,lcg,19,,,454
21,lcg,20,,,470
21,lcg,21,,,489
21,xorshift,,469,0.0018,
21,xorshift,1,,,495
21,xorshift,2,,,492
21,xorshift,3,,,442
21,xorshift,4,,,458
21,xorshift,5,,,469
21,xorshift,6,,,471
21,xorshift,7,,,490
21,xorshift,8,,,473
21,xorshift,9,,,501
21,xorshift,10,,,492
21,xorshift,11,,,479
21,xorshift,12,,,498
21,xorshift,13,,,444
21,xorshift,14,,,457
21,xorshift,15,,,490
21,xorshift,16,,,424
21,xorshift,17,,,468
21,xorshift,18,,,483
21,xorshift,19,,,481
21,xorshift,20,,,490
21,xorshift,21,,,503
21,mulberry32,,483,0.0132,
21,mulberry32,1,,,486
21,mulberry32,2,,,536
21,mulberry32,3,,,468
21,mulberry32,4,,,502
21,mulberry32,5,,,481
21,mulberry32,6,,,466
21,mulberry32,7,,,429
21,mulberry32,8,,,483
21,mulberry32,9,,,461
21,mulberry32,10,,,507
21,mulberry32,11,,,471
21,mulberry32,12,,,473
21,mulberry32,13,,,456
21,mulberry32,14,,,469
21,mulberry32,15,,,465
21,mulberry32,16,,,462
