roulette_size,generator,number,repeats,correlation,counts
7,mulberry32,4,,,14364
7,mulberry32,5,,,14218
7,mulberry32,6,,,14227
7,mulberry32,7,,,14287
8,nativeRandom,,12525,-0.0034,
8,nativeRandom,1,,,12469
8,nativeRandom,2,,,12527
8,nativeRandom,3,,,12397
8,nativeRandom,4,,,12479
8,nativeRandom,5,,,12438
8,nativeRandom,6,,,12710
8,nativeRandom,7,,,12419
8,nativeRandom,8,,,12561
8,lcg,,12426,-0.0107,
8,lcg,1,,,12738
8,lcg,2,,,13050
8,lcg,3,,,12331
8,lcg,4,,,13055
8,lcg,5,,,11855
8,lcg,6,,,12204
8,lcg,7,,,12463
8,lcg,8,,,12304
8,xorshift,,12536,0.0001,
8,xorshift,1,,,12421
8,xorshift,2,,,12531
8,xorshift,3,,,12429
8,xorshift,4,,,12486
8,xorshift,5,,,12443
8,xorshift,6,,,12632
8,xorshift,7,,,12543
8,xorshift,8,,,12515
8,mulberry32,,12356,-0.0022,
8,mulberry32,1,,,12402
8,mulberry32,2,,,12533
8,mulberry32,3,,,12698
8,mulberry32,4,,,12601
8,mulberry32,5,,,12461
8,mulberry32,6,,,12462
8,mulberry32,7,,,12480
8,mulberry32,8,,,12363
9,nativeRandom,,11149,-0.0052,
9,nativeRandom,1,,,11107
9,nativeRandom,2,,,10987
9,nativeRandom,3,,,11056
9,nativeRandom,4,,,11066
9,nativeRandom,5,,,11307
9,nativeRandom,6,,,11295
9,nativeRandom,7,,,10919
9,nativeRandom,8,,,10980
9,nativeRandom,9,,,11283
9,lcg,,11167,-0.0100,
9,lcg,1,,,11154
9,lcg,2,,,11837
9,lcg,3,,,11042
9,lcg,4,,,11155
9,lcg,5,,,11200
9,lcg,6,,,10723
9,lcg,7,,,10674
9,lcg,8,,,11024
9,lcg,9,,,11191
9,xorshift,,11191,0.0020,
9,xorshift,1,,,11058
9,xorshift,2,,,11071
9,xorshift,3,,,11346
9,xorshift,4,,,11113
9,xorshift,5,,,11008
9,xorshift,6,,,10932
9,xorshift,7,,,11215
9,xorshift,8,,,11073
9,xorshift,9,,,11184
9,mulberry32,,11038,-0.0027,
9,mulberry32,1,,,11199
9,mulberry32,2,,,10940
9,mulberry32,3,,,11049
9,mulberry32,4,,,11259
9,mulberry32,5,,,11139
9,mulberry32,6,,,11097
9,mulberry32,7,,,11241
9,mulberry32,8,,,11099
9,mulberry32,9,,,10977
10,nativeRandom,,9947,-0.0049,
10,nativeRandom,1,,,9979
10,nativeRandom,2,,,9936
10,nativeRandom,3,,,9994
10,nativeRandom,4,,,9922
10,nativeRandom,5,,,10036
10,nativeRandom,6,,,10074
10,nativeRandom,7,,,10156
10,nativeRandom,8,,,9905
10,nativeRandom,9,,,9988
10,nativeRandom,10,,,10010
10,lcg,,9854,-0.0128,
10,lcg,1,,,10262
10,lcg,2,,,10129
10,lcg,3,,,10194
10,lcg,4,,,10184
10,lcg,5,,,10430
10,lcg,6,,,9737
10,lcg,7,,,9538
10,lcg,8,,,9575
10,lcg,9,,,9863
10,lcg,10,,,10088
10,xorshift,,9917,-0.0034,
10,xorshift,1,,,10175
10,xorshift,2,,,9947
10,xorshift,3,,,9831
10,xorshift,4,,,10061
10,xorshift,5,,,10194
10,xorshift,6,,,10133
10,xorshift,7,,,9826
10,xorshift,8,,,9955
10,xorshift,9,,,9971
10,xorshift,10,,,9907
10,mulberry32,,9828,0.0004,
10,mulberry32,1,,,9998
10,mulberry32,2,,,10006
10,mulberry32,3,,,10170
10,mulberry32,4,,,10060
10,mulberry32,5,,,9915
10,mulberry32,6,,,9901
10,mulberry32,7,,,10058
10,mulberry32,8,,,10026
10,mulberry32,9,,,9984
10,mulberry32,10,,,9882
11,nativeRandom,,9278,-0.0003,
11,nativeRandom,1,,,8998
11,nativeRandom,2,,,9099
11,nativeRandom,3,,,9051
11,nativeRandom,4,,,9024
11,nativeRandom,5,,,9163
11,nativeRandom,6,,,9070
11,nativeRandom,7,,,9244
11,nativeRandom,8,,,8936
11,nativeRandom,9,,,9118
11,nativeRandom,10,,,9190
11,nativeRandom,11,,,9107
11,lcg,,8935,-0.0114,
11,lcg,1,,,9342
11,lcg,2,,,9182
11,lcg,3,,,9368
11,lcg,4,,,9165
11,lcg,5,,,9304
11,lcg,6,,,9052
11,lcg,7,,,8915
11,lcg,8,,,8788
11,lcg,9,,,8760
11,lcg,10,,,8935
11,lcg,11,,,9189
11,xorshift,,9123,-0.0015,
11,xorshift,1,,,9126
11,xorshift,2,,,9016
11,xorshift,3,,,9164
11,xorshift,4,,,9223
11,xorshift,5,,,9219
11,xorshift,6,,,9050
11,xorshift,7,,,9173
11,xorshift,8,,,9138
11,xorshift,9,,,8964
11,xorshift,10,,,8899
11,xorshift,11,,,9028
11,mulberry32,,9037,0.0023,
11,mulberry32,1,,,9205
11,mulberry32,2,,,9052
11,mulberry32,3,,,9085
11,mulberry32,4,,,9026
11,mulberry32,5,,,9020
11,mulberry32,6,,,9004
11,mulberry32,7,,,9166
11,mulberry32,8,,,8973
11,mulberry32,9,,,9213
11,mulberry32,10,,,9051
11,mulberry32,11,,,9205
12,nativeRandom,,8183,0.0021,
12,nativeRandom,1,,,8262
12,nativeRandom,2,,,8231
12,nativeRandom,3,,,8309
12,nativeRandom,4,,,8441
12,nativeRandom,5,,,8343
12,nativeRandom,6,,,8287
12,nativeRandom,7,,,8435
12,nativeRandom,8,,,8274
12,nativeRandom,9,,,8409
12,nativeRandom,10,,,8276
12,nativeRandom,11,,,8413
12,nativeRandom,12,,,8320
12,lcg,,7926,-0.0119,
12,lcg,1,,,8778
12,lcg,2,,,8375
12,lcg,3,,,8655
12,lcg,4,,,8190
12,lcg,5,,,8485
12,lcg,6,,,8737
12,lcg,7,,,7957
12,lcg,8,,,7912
12,lcg,9,,,8175
12,lcg,10,,,8235
12,lcg,11,,,8113
12,lcg,12,,,8388
12,xorshift,,8233,0.0013,
12,xorshift,1,,,8388
12,xorshift,2,,,8325
12,xorshift,3,,,8479
12,xorshift,4,,,8245
12,xorshift,5,,,8466
12,xorshift,6,,,8353
12,xorshift,7,,,8279
12,xorshift,8,,,8198
12,xorshift,9,,,8223
12,xorshift,10,,,8384
12,xorshift,11,,,8313
12,xorshift,12,,,8347
12,mulberry32,,8500,0.0070,
12,mulberry32,1,,,8348
12,mulberry32,2,,,8301
12,mulberry32,3,,,8208
12,mulberry32,4,,,8379
12,mulberry32,5,,,8311
12,mulberry32,6,,,8279
12,mulberry32,7,,,8333
12,mulberry32,8,,,8308
12,mulberry32,9,,,8365
12,mulberry32,10,,,8326
12,mulberry32,11,,,8397
12,mulberry32,12,,,8445
13,nativeRandom,,7620,0.0025,
13,nativeRandom,1,,,7650
13,nativeRandom,2,,,7780
13,nativeRandom,3,,,7658
13,nativeRandom,4,,,7737
13,nativeRandom,5,,,7555
13,nativeRandom,6,,,7775
13,nativeRandom,7,,,7690
13,nativeRandom,8,,,7770
13,nativeRandom,9,,,7539
13,nativeRandom,10,,,7772
13,nativeRandom,11,,,7644
13,nativeRandom,12,,,7765
13,nativeRandom,13,,,7665
13,lcg,,7845,-0.0104,
13,lcg,1,,,8168
13,lcg,2,,,7714
13,lcg,3,,,7936
13,lcg,4,,,7475
13,lcg,5,,,7847
13,lcg,6,,,8000
13,lcg,7,,,7632
13,lcg,8,,,7578
13,lcg,9,,,7394
13,lcg,10,,,7283
13,lcg,11,,,7709
13,lcg,12,,,7468
13,lcg,13,,,7796
13,xorshift,,7720,-0.0050,
13,xorshift,1,,,7629
13,xorshift,2,,,7807
13,xorshift,3,,,7669
13,xorshift,4,,,7726
13,xorshift,5,,,7621
13,xorshift,6,,,7698
13,xorshift,7,,,7688
13,xorshift,8,,,7742
13,xorshift,9,,,7569
13,xorshift,10,,,7777
13,xorshift,11,,,7661
13,xorshift,12,,,7733
13,xorshift,13,,,7680
13,mulberry32,,7678,0.0016,
13,mulberry32,1,,,7590
13,mulberry32,2,,,7776
13,mulberry32,3,,,7732
13,mulberry32,4,,,7540
13,mulberry32,5,,,7694
13,mulberry32,6,,,7717
13,mulberry32,7,,,7733
13,mulberry32,8,,,7648
13,mulberry32,9,,,7765
13,mulberry32,10,,,7609
13,mulberry32,11,,,7797
13,mulberry32,12,,,7665
13,mulberry32,13,,,7734
14,nativeRandom,,7014,-0.0015,
14,nativeRandom,1,,,7356
14,nativeRandom,2,,,7096
14,nativeRandom,3,,,7098
14,nativeRandom,4,,,7154
14,nativeRandom,5,,,7248
14,nativeRandom,6,,,7180
14,nativeRandom,7,,,7201
14,nativeRandom,8,,,7080
14,nativeRandom,9,,,7050
14,nativeRandom,10,,,7018
14,nativeRandom,11,,,7240
14,nativeRandom,12,,,7082
14,nativeRandom,13,,,7073
14,nativeRandom,14,,,7124
14,lcg,,6925,-0.0123,
14,lcg,1,,,7600
14,lcg,2,,,7031
14,lcg,3,,,7555
14,lcg,4,,,7052
14,lcg,5,,,7270
14,lcg,6,,,7026
14,lcg,7,,,7689
14,lcg,8,,,6668
14,lcg,9,,,6993
14,lcg,10,,,6893
14,lcg,11,,,6740
14,lcg,12,,,7360
14,lcg,13,,,6858
14,lcg,14,,,7265
14,xorshift,,7163,0.0009,
14,xorshift,1,,,7099
14,xorshift,2,,,7231
14,xorshift,3,,,7069
14,xorshift,4,,,7239
14,xorshift,5,,,6997
14,xorshift,6,,,7123
14,xorshift,7,,,7110
14,xorshift,8,,,7346
14,xorshift,9,,,7167
14,xorshift,10,,,7062
14,xorshift,11,,,7128
14,xorshift,12,,,7148
14,xorshift,13,,,7165
14,xorshift,14,,,7116
14,mulberry32,,7130,0.0019,
14,mulberry32,1,,,7135
14,mulberry32,2,,,7005
14,mulberry32,3,,,7150
14,mulberry32,4,,,7203
14,mulberry32,5,,,7100
14,mulberry32,6,,,7074
14,mulberry32,7,,,7158
14,mulberry32,8,,,7048
14,mulberry32,9,,,7136
14,mulberry32,10,,,7177
14,mulberry32,11,,,7299
14,mulberry32,12,,,7098
14,mulberry32,13,,,7259
14,mulberry32,14,,,7158
15,nativeRandom,,6655,-0.0015,
15,nativeRandom,1,,,6582
15,nativeRandom,2,,,6595
15,nativeRandom,3,,,6575
15,nativeRandom,4,,,6787
15,nativeRandom,5,,,6714
15,nativeRandom,6,,,6665
15,nativeRandom,7,,,6656
15,nativeRandom,8,,,6559
15,nativeRandom,9,,,6685
15,nativeRandom,10,,,6790
15,nativeRandom,11,,,6621
15,nativeRandom,12,,,6729
15,nativeRandom,13,,,6709
15,nativeRandom,14,,,6616
15,nativeRandom,15,,,6717
15,lcg,,6543,-0.0121,
15,lcg,1,,,7217
15,lcg,2,,,6319
15,lcg,3,,,6830
15,lcg,4,,,6900
15,lcg,5,,,6740
15,lcg,6,,,6778
15,lcg,7,,,6979
15,lcg,8,,,6555
15,lcg,9,,,6645
15,lcg,10,,,6140
15,lcg,11,,,6575
15,lcg,12,,,6412
15,lcg,13,,,6733
15,lcg,14,,,6411
15,lcg,15,,,6766
15,xorshift,,6693,0.0001,
15,xorshift,1,,,6521
15,xorshift,2,,,6724
15,xorshift,3,,,6692
15,xorshift,4,,,6679
15,xorshift,5,,,6735
15,xorshift,6,,,6691
15,xorshift,7,,,6494
15,xorshift,8,,,6784
15,xorshift,9,,,6711
15,xorshift,10,,,6626
15,xorshift,11,,,6600
15,xorshift,12,,,6643
15,xorshift,13,,,6630
15,xorshift,14,,,6723
15,xorshift,15,,,6747
15,mulberry32,,6576,0.0014,
15,mulberry32,1,,,6720
15,mulberry32,2,,,6594
15,mulberry32,3,,,6632
15,mulberry32,4,,,6623
15,mulberry32,5,,,6639
15,mulberry32,6,,,6663
15,mulberry32,7,,,6617
15,mulberry32,8,,,6635
15,mulberry32,9,,,6718
15,mulberry32,10,,,6628
15,mulberry32,11,,,6712
15,mulberry32,12,,,6596
15,mulberry32,13,,,6763
15,mulberry32,14,,,6669
15,mulberry32,15,,,6791
16,nativeRandom,,6211,-0.0059,
16,nativeRandom,1,,,6091
16,nativeRandom,2,,,6291
16,nativeRandom,3,,,6366
16,nativeRandom,4,,,6227
16,nativeRandom,5,,,6066
16,nativeRandom,6,,,6298
16,nativeRandom,7,,,6251
16,nativeRandom,8,,,6391
16,nativeRandom,9,,,6292
16,nativeRandom,10,,,6198
16,nativeRandom,11,,,6182
16,nativeRandom,12,,,6310
16,nativeRandom,13,,,6244
16,nativeRandom,14,,,6363
16,nativeRandom,15,,,6259
16,nativeRandom,16,,,6171
16,lcg,,6124,-0.0121,
16,lcg,1,,,6867
16,lcg,2,,,5897
16,lcg,3,,,6337
16,lcg,4,,,6737
16,lcg,5,,,6006
16,lcg,6,,,6351
16,lcg,7,,,6243
16,lcg,8,,,6812
16,lcg,9,,,5831
16,lcg,10,,,5977
16,lcg,11,,,6294
16,lcg,12,,,5903
16,lcg,13,,,6129
16,lcg,14,,,6310
16,lcg,15,,,6020
16,lcg,16,,,6286
16,xorshift,,6195,-0.0011,
16,xorshift,1,,,6333
16,xorshift,2,,,6096
16,xorshift,3,,,6158
16,xorshift,4,,,6214
16,xorshift,5,,,6377
16,xorshift,6,,,6229
16,xorshift,7,,,6291
16,xorshift,8,,,6236
16,xorshift,9,,,6067
16,xorshift,10,,,6180
16,xorshift,11,,,6408
16,xorshift,12,,,6232
16,xorshift,13,,,6307
16,xorshift,14,,,6336
16,xorshift,15,,,6378
16,xorshift,16,,,6158
16,mulberry32,,6293,0.0026,
16,mulberry32,1,,,6071
16,mulberry32,2,,,6207
16,mulberry32,3,,,6418
16,mulberry32,4,,,6298
16,mulberry32,5,,,6399
16,mulberry32,6,,,6197
16,mulberry32,7,,,6224
16,mulberry32,8,,,6282
16,mulberry32,9,,,6327
16,mulberry32,10,,,6214
16,mulberry32,11,,,6130
16,mulberry32,12,,,6327
16,mulberry32,13,,,6233
16,mulberry32,14,,,6142
16,mulberry32,15,,,6275
16,mulberry32,16,,,6256
17,nativeRandom,,5859,-0.0053,
17,nativeRandom,1,,,5859
17,nativeRandom,2,,,5849
17,nativeRandom,3,,,5908
17,nativeRandom,4,,,5943
17,nativeRandom,5,,,5941
17,nativeRandom,6,,,5908
17,nativeRandom,7,,,5887
17,nativeRandom,8,,,5781
17,nativeRandom,9,,,5893
17,nativeRandom,10,,,6009
17,nativeRandom,11,,,5833
17,nativeRandom,12,,,5921
17,nativeRandom,13,,,5928
17,nativeRandom,14,,,5956
17,nativeRandom,15,,,5728
17,nativeRandom,16,,,5832
17,nativeRandom,17,,,5824
17,lcg,,5802,-0.0129,
17,lcg,1,,,6546
17,lcg,2,,,5199
17,lcg,3,,,6355
17,lcg,4,,,6140
17,lcg,5,,,5761
17,lcg,6,,,6095
17,lcg,7,,,5924
17,lcg,8,,,6124
17,lcg,9,,,5760
17,lcg,10,,,5790
17,lcg,11,,,5631
17,lcg,12,,,5612
17,lcg,13,,,5787
17,lcg,14,,,5763
17,lcg,15,,,5793
17,lcg,16,,,5675
17,lcg,17,,,6045
17,xorshift,,5939,0.0008,
17,xorshift,1,,,6006
17,xorshift,2,,,6024
17,xorshift,3,,,5843
17,xorshift,4,,,5717
17,xorshift,5,,,5853
17,xorshift,6,,,5817
17,xorshift,7,,,5895
17,xorshift,8,,,5923
17,xorshift,9,,,5803
17,xorshift,10,,,5936
17,xorshift,11,,,5888
17,xorshift,12,,,6024
17,xorshift,13,,,5788
17,xorshift,14,,,5925
17,xorshift,15,,,5824
17,xorshift,16,,,5801
17,xorshift,17,,,5933
17,mulberry32,,5907,0.0007,
17,mulberry32,1,,,5891
17,mulberry32,2,,,5898
17,mulberry32,3,,,5925
17,mulberry32,4,,,5896
17,mulberry32,5,,,5837
17,mulberry32,6,,,5660
17,mulberry32,7,,,5874
17,mulberry32,8,,,5781
17,mulberry32,9,,,5914
17,mulberry32,10,,,5780
17,mulberry32,11,,,5863
17,mulberry32,12,,,6017
17,mulberry32,13,,,6022
17,mulberry32,14,,,5910
17,mulberry32,15,,,5837
17,mulberry32,16,,,5932
17,mulberry32,17,,,5963
18,nativeRandom,,5507,-0.0047,
18,nativeRandom,1,,,5628
18,nativeRandom,2,,,5465
18,nativeRandom,3,,,5679
18,nativeRandom,4,,,5567
18,nativeRandom,5,,,5502
18,nativeRandom,6,,,5755
18,nativeRandom,7,,,5555
18,nativeRandom,8,,,5554
18,nativeRandom,9,,,5558
18,nativeRandom,10,,,5521
18,nativeRandom,11,,,5543
18,nativeRandom,12,,,5463
18,nativeRandom,13,,,5579
18,nativeRandom,14,,,5508
18,nativeRandom,15,,,5542
18,nativeRandom,16,,,5623
18,nativeRandom,17,,,5564
18,nativeRandom,18,,,5394
18,lcg,,5512,-0.0124,
18,lcg,1,,,6170
18,lcg,2,,,4983
18,lcg,3,,,6021
18,lcg,4,,,5812
18,lcg,5,,,5399
18,lcg,6,,,5638
18,lcg,7,,,5474
18,lcg,8,,,5682
18,lcg,9,,,6063
18,lcg,10,,,5136
18,lcg,11,,,5587
18,lcg,12,,,5138
18,lcg,13,,,5475
18,lcg,14,,,5199
18,lcg,15,,,5724
18,lcg,16,,,5303
18,lcg,17,,,5542
18,lcg,18,,,5654
18,xorshift,,5431,-0.0047,
18,xorshift,1,,,5516
18,xorshift,2,,,5563
18,xorshift,3,,,5579
18,xorshift,4,,,5596
18,xorshift,5,,,5358
18,xorshift,6,,,5468
18,xorshift,7,,,5637
18,xorshift,8,,,5596
18,xorshift,9,,,5638
18,xorshift,10,,,5556
18,xorshift,11,,,5546
18,xorshift,12,,,5515
18,xorshift,13,,,5411
18,xorshift,14,,,5666
18,xorshift,15,,,5606
18,xorshift,16,,,5690
18,xorshift,17,,,5606
18,xorshift,18,,,5453
18,mulberry32,,5549,-0.0017,
18,mulberry32,1,,,5480
18,mulberry32,2,,,5549
18,mulberry32,3,,,5713
18,mulberry32,4,,,5596
18,mulberry32,5,,,5557
18,mulberry32,6,,,5607
18,mulberry32,7,,,5553
18,mulberry32,8,,,5407
18,mulberry32,9,,,5415
18,mulberry32,10,,,5625
18,mulberry32,11,,,5624
18,mulberry32,12,,,5607
18,mulberry32,13,,,5497
18,mulberry32,14,,,5634
18,mulberry32,15,,,5545
18,mulberry32,16,,,5545
18,mulberry32,17,,,5491
18,mulberry32,18,,,5555
19,nativeRandom,,5101,-0.0016,
19,nativeRandom,1,,,5277
19,nativeRandom,2,,,5256
19,nativeRandom,3,,,5330
19,nativeRandom,4,,,5352
19,nativeRandom,5,,,5268
19,nativeRandom,6,,,5378
19,nativeRandom,7,,,5295
19,nativeRandom,8,,,5181
19,nativeRandom,9,,,5289
19,nativeRandom,10,,,5284
19,nativeRandom,11,,,5141
19,nativeRandom,12,,,5262
19,nativeRandom,13,,,5223
19,nativeRandom,14,,,5188
19,nativeRandom,15,,,5311
19,nativeRandom,16,,,5284
19,nativeRandom,17,,,5113
19,nativeRandom,18,,,5304
19,nativeRandom,19,,,5264
19,lcg,,5213,-0.0120,
19,lcg,1,,,5933
19,lcg,2,,,4781
19,lcg,3,,,5594
19,lcg,4,,,5388
19,lcg,5,,,5311
19,lcg,6,,,5140
19,lcg,7,,,5286
19,lcg,8,,,5446
19,lcg,9,,,5596
19,lcg,10,,,5071
19,lcg,11,,,5040
19,lcg,12,,,5078
19,lcg,13,,,5318
19,lcg,14,,,5099
19,lcg,15,,,4880
19,lcg,16,,,5469
19,lcg,17,,,5000
19,lcg,18,,,5235
19,lcg,19,,,5335
19,xorshift,,5242,-0.0015,
19,xorshift,1,,,5317
19,xorshift,2,,,5303
19,xorshift,3,,,5181
19,xorshift,4,,,5156
19,xorshift,5,,,5332
19,xorshift,6,,,5179
19,xorshift,7,,,5237
19,xorshift,8,,,5202
19,xorshift,9,,,5328
19,xorshift,10,,,5340
19,xorshift,11,,,5233
19,xorshift,12,,,5219
19,xorshift,13,,,5272
19,xorshift,14,,,5276
19,xorshift,15,,,5271
19,xorshift,16,,,5259
19,xorshift,17,,,5297
19,xorshift,18,,,5272
19,xorshift,19,,,5326
19,mulberry32,,5173,-0.0018,
19,mulberry32,1,,,5190
19,mulberry32,2,,,5296
19,mulberry32,3,,,5209
19,mulberry32,4,,,5418
19,mulberry32,5,,,5331
19,mulberry32,6,,,5226
19,mulberry32,7,,,5227
19,mulberry32,8,,,5203
19,mulberry32,9,,,5372
19,mulberry32,10,,,5118
19,mulberry32,11,,,5248
19,mulberry32,12,,,5277
19,mulberry32,13,,,5228
19,mulberry32,14,,,5266
19,mulberry32,15,,,5230
19,mulberry32,16,,,5423
19,mulberry32,17,,,5161
19,mulberry32,18,,,5235
19,mulberry32,19,,,5342
20,nativeRandom,,5016,-0.0034,
20,nativeRandom,1,,,4951
20,nativeRandom,2,,,4967
20,nativeRandom,3,,,5046
20,nativeRandom,4,,,4993
20,nativeRandom,5,,,4940
20,nativeRandom,6,,,5014
20,nativeRandom,7,,,5067
20,nativeRandom,8,,,5038
20,nativeRandom,9,,,4955
20,nativeRandom,10,,,5019
20,nativeRandom,11,,,4999
20,nativeRandom,12,,,4979
20,nativeRandom,13,,,5030
20,nativeRandom,14,,,5183
20,nativeRandom,15,,,5016
20,nativeRandom,16,,,4909
20,nativeRandom,17,,,5041
20,nativeRandom,18,,,4930
20,nativeRandom,19,,,4985
20,nativeRandom,20,,,4938
20,lcg,,4928,-0.0126,
20,lcg,1,,,5549
20,lcg,2,,,4678
20,lcg,3,,,5220
20,lcg,4,,,4938
20,lcg,5,,,5428
20,lcg,6,,,4785
20,lcg,7,,,5211
20,lcg,8,,,4975
20,lcg,9,,,5098
20,lcg,10,,,5361
20,lcg,11,,,4645
20,lcg,12,,,5088
20,lcg,13,,,4619
20,lcg,14,,,4935
20,lcg,15,,,4738
20,lcg,16,,,4833
20,lcg,17,,,4986
20,lcg,18,,,4800
20,lcg,19,,,5026
20,lcg,20,,,5087
20,xorshift,,5037,0.0016,
20,xorshift,1,,,4961
20,xorshift,2,,,5057
20,xorshift,3,,,4973
20,xorshift,4,,,5154
20,xorshift,5,,,4915
20,xorshift,6,,,4905
20,xorshift,7,,,5092
20,xorshift,8,,,4967
20,xorshift,9,,,4959
20,xorshift,10,,,4910
20,xorshift,11,,,4847
20,xorshift,12,,,4926
20,xorshift,13,,,4989
20,xorshift,14,,,5042
20,xorshift,15,,,4939
20,xorshift,16,,,5145
20,xorshift,17,,,4968
20,xorshift,18,,,5133
20,xorshift,19,,,5052
20,xorshift,20,,,5066
20,mulberry32,,5025,-0.0027,
20,mulberry32,1,,,5105
20,mulberry32,2,,,5033
20,mulberry32,3,,,4966
20,mulberry32,4,,,4954
20,mulberry32,5,,,5025
20,mulberry32,6,,,5018
20,mulberry32,7,,,5027
20,mulberry32,8,,,4902
20,mulberry32,9,,,4944
20,mulberry32,10,,,5029
20,mulberry32,11,,,5044
20,mulberry32,12,,,4970
20,mulberry32,13,,,4988
20,mulberry32,14,,,4969
20,mulberry32,15,,,5063
20,mulberry32,16,,,4962
20,mulberry32,17,,,5050
20,mulberry32,18,,,4952
20,mulberry32,19,,,4948
20,mulberry32,20,,,5051
21,nativeRandom,,4838,0.0070,
21,nativeRandom,1,,,4904
21,nativeRandom,2,,,4693
21,nativeRandom,3,,,4807
21,nativeRandom,4,,,4753
21,nativeRandom,5,,,4708
21,nativeRandom,6,,,4811
21,nativeRandom,7,,,4772
21,nativeRandom,8,,,4661
21,nativeRandom,9,,,4793
21,nativeRandom,10,,,4653
21,nativeRandom,11,,,4867
21,nativeRandom,12,,,4828
21,nativeRandom,13,,,4756
21,nativeRandom,14,,,4694
21,nativeRandom,15,,,4733
21,nativeRandom,16,,,4798
21,nativeRandom,17,,,4801
21,nativeRandom,18,,,4765
21,nativeRandom,19,,,4719
21,nativeRandom,20,,,4750
21,nativeRandom,21,,,4734
21,lcg,,4643,-0.0128,
21,lcg,1,,,5331
21,lcg,2,,,4452
21,lcg,3,,,4818
21,lcg,4,,,4779
21,lcg,5,,,5223
21,lcg,6,,,4591
